component,module,line,kind
ArtifactActions,src.aura.ui.agent_workspace.artifact_actions,129,class
ArtifactInspector,src.aura.ui.agent_workspace.artifact_inspector,18,class
BoundedArtifactPreview,src.aura.ui.agent_workspace.artifact_models,14,class
ChangedFileRow,src.aura.ui.agent_workspace.artifact_models,38,class
ChangedFileRole,src.aura.ui.agent_workspace.artifact_models,45,class
ChangedFilesModel,src.aura.ui.agent_workspace.artifact_models,52,class
_NeutralizedPlainTextEdit,src.aura.ui.agent_workspace.artifact_views,13,class
EvidenceArtifactView,src.aura.ui.agent_workspace.artifact_views,24,class
DiffArtifactView,src.aura.ui.agent_workspace.artifact_views,31,class
TestArtifactView,src.aura.ui.agent_workspace.artifact_views,80,class
ReportArtifactView,src.aura.ui.agent_workspace.artifact_views,87,class
RunDetailsView,src.aura.ui.agent_workspace.artifact_views,94,class
ProjectionChange,src.aura.ui.agent_workspace.coalescer,144,class
TimelineCoalescer,src.aura.ui.agent_workspace.coalescer,150,class
StartRunRequest,src.aura.ui.agent_workspace.commands,7,class
StopRunRequest,src.aura.ui.agent_workspace.commands,16,class
ApprovalDecision,src.aura.ui.agent_workspace.commands,21,class
SteerRunRequest,src.aura.ui.agent_workspace.commands,28,class
QueueFollowUpRequest,src.aura.ui.agent_workspace.commands,34,class
QueuedFollowUp,src.aura.ui.agent_workspace.commands,48,class
IntentEditor,src.aura.ui.agent_workspace.composer,8,class
EvidenceActions,src.aura.ui.agent_workspace.evidence_actions,134,class
EvidenceCandidateModel,src.aura.ui.agent_workspace.evidence_picker,23,class
EvidenceContextPicker,src.aura.ui.agent_workspace.evidence_picker,124,class
IntentActions,src.aura.ui.agent_workspace.intent_actions,133,class
DenyResourceTextDocument,src.aura.ui.agent_workspace.markdown_renderer,26,class
MarkdownRenderKey,src.aura.ui.agent_workspace.markdown_renderer,39,class
MarkdownLayoutResult,src.aura.ui.agent_workspace.markdown_renderer,52,class
MarkdownLinkPolicy,src.aura.ui.agent_workspace.markdown_renderer,67,class
MarkdownRenderer,src.aura.ui.agent_workspace.markdown_renderer,96,class
AgentUiPreferences,src.aura.ui.agent_workspace.preferences,11,class
AgentUiPreferenceStore,src.aura.ui.agent_workspace.preferences,27,class
TimelineEventRecord,src.aura.ui.agent_workspace.presentation_support,152,class
TimelineCard,src.aura.ui.agent_workspace.presentation_support,242,class
ApprovalCard,src.aura.ui.agent_workspace.presentation_support,315,class
TrustedRendererRegistry,src.aura.ui.agent_workspace.presentation_support,405,class
AgentWorkspacePresenter,src.aura.ui.agent_workspace.presenter,12,class
RepositoryActions,src.aura.ui.agent_workspace.repository_actions,129,class
RunActions,src.aura.ui.agent_workspace.run_actions,134,class
AgentSettingsDialog,src.aura.ui.agent_workspace.settings,23,class
ThreadNodeRole,src.aura.ui.agent_workspace.sidebar,12,class
ThreadRow,src.aura.ui.agent_workspace.sidebar,20,class
RepositoryThreads,src.aura.ui.agent_workspace.sidebar,30,class
_Node,src.aura.ui.agent_workspace.sidebar,37,class
RepositoryThreadModel,src.aura.ui.agent_workspace.sidebar,54,class
ThreadRowDelegate,src.aura.ui.agent_workspace.sidebar_view,32,class
WorkspaceSidebar,src.aura.ui.agent_workspace.sidebar_view,85,class
AgentWorkspaceSubsystem,src.aura.ui.agent_workspace.subsystem,20,class
ElidedLabel,src.aura.ui.agent_workspace.text_controls,10,class
ElidingPushButton,src.aura.ui.agent_workspace.text_controls,55,class
TimelineRole,src.aura.ui.agent_workspace.timeline,23,class
TimelineModel,src.aura.ui.agent_workspace.timeline,41,class
TimelineDelegate,src.aura.ui.agent_workspace.timeline_view,85,class
ThreadTimelineView,src.aura.ui.agent_workspace.timeline_view,301,class
TechnicalDetailView,src.aura.ui.agent_workspace.transfer_review,49,class
TransferItemView,src.aura.ui.agent_workspace.transfer_review,55,class
SensitiveFindingView,src.aura.ui.agent_workspace.transfer_review,61,class
TransferReviewInput,src.aura.ui.agent_workspace.transfer_review,68,class
TransferReviewViewModel,src.aura.ui.agent_workspace.transfer_review,82,class
TransferReviewDialog,src.aura.ui.agent_workspace.transfer_review,319,class
PrimaryAction,src.aura.ui.agent_workspace.view_state,7,class
TimelineContentFormat,src.aura.ui.agent_workspace.view_state,12,class
ThreadHeaderViewState,src.aura.ui.agent_workspace.view_state,21,class
ComposerViewState,src.aura.ui.agent_workspace.view_state,29,class
AgentWorkspaceViewState,src.aura.ui.agent_workspace.view_state,38,class
TimelineDetailViewState,src.aura.ui.agent_workspace.view_state,44,class
