component,module,line,kind
ClaimReviewTests,tests.test_claim_review,9,class
DenoiseTests,tests.test_denoise,20,class
DenoiseEvalWorkspaceTests,tests.test_denoise_eval_workspace,10,class
DiscoverDenoiseEvalCandidatesTests,tests.test_discover_denoise_eval_candidates,15,class
EnhancementBackendTests,tests.test_enhancement_backends,28,class
EvaluateDenoiseBackendsTests,tests.test_evaluate_denoise_backends,27,class
EvidenceSearchTests,tests.test_evidence_search,118,class
FakeModel,tests.test_file_pipeline,35,class
FakeChineseModel,tests.test_file_pipeline,44,class
FakeLowConfidenceModel,tests.test_file_pipeline,53,class
FilePipelineTests,tests.test_file_pipeline,65,class
FuzzyCorrectionAuditTests,tests.test_fuzzy_correction_audit,18,class
FuzzyCorrectorTests,tests.test_fuzzy_corrector,10,class
FuzzyManualReviewTests,tests.test_fuzzy_manual_review,83,class
G4E4BPipelineValidityTests,tests.test_g4e4b_pipeline_validity,17,class
GateDenoiseDefaultPromotionTests,tests.test_gate_denoise_default_promotion,26,class
Gemma4E4BSummaryImpactTests,tests.test_gemma4_e4b_summary_impact,33,class
GeneratePairedSummaryArtifactsTests,tests.test_generate_paired_summary_artifacts,12,class
GpuPolicyTests,tests.test_gpu_policy,7,class
ImportSmokeTests,tests.test_imports,8,class
FakeClient,tests.test_layered_summary_pipeline,53,class
LayeredSummaryPipelineTests,tests.test_layered_summary_pipeline,78,class
MainWindowRecoveryTests,tests.test_main_window_recovery,14,class
MarkdownRendererTests,tests.test_markdown_renderer,9,class
MeetingDistancePolicyTests,tests.test_meeting_distance,18,class
PracticalMeetingSummaryTests,tests.test_meeting_summary,19,class
FakeResponse,tests.test_ollama_runtime,19,class
OllamaRuntimeTests,tests.test_ollama_runtime,33,class
PackagedResourcesTests,tests.test_packaged_resources,10,class
PrepareDenoiseEvalCaseTests,tests.test_prepare_denoise_eval_case,12,class
PromptDefaultTests,tests.test_prompt_defaults,17,class
Model,tests.test_prompt_defaults,101,class
FakeRestorer,tests.test_punctuation,16,class
PunctuationTests,tests.test_punctuation,25,class
RecordingSessionTests,tests.test_recording_session,20,class
RecordingShutdownTests,tests.test_recording_shutdown,10,class
Timer,tests.test_recording_shutdown,14,class
Recorder,tests.test_recording_shutdown,18,class
Transcriber,tests.test_recording_shutdown,25,class
RuntimeDiagnosticsTests,tests.test_runtime_diagnostics,23,class
RuntimePathTests,tests.test_runtime_paths,11,class
SchedulingTests,tests.test_scheduling,7,class
SettingsTests,tests.test_settings,17,class
SpeakerAssignmentTests,tests.test_speaker_assignment,24,class
FakePipeline,tests.test_speaker_assignment,120,class
SplitterPipelineTests,tests.test_splitter_pipeline,21,class
SummaryTests,tests.test_summary,17,class
Result,tests.test_summary,33,class
SummaryClaimsTableTests,tests.test_summary_claims_table,19,class
SummaryImpactEvaluationTests,tests.test_summary_impact_eval,17,class
FakeButton,tests.test_summary_ui_runtime,9,class
FakeTextArea,tests.test_summary_ui_runtime,17,class
FakeSignal,tests.test_summary_ui_runtime,29,class
FakeRuntimeThread,tests.test_summary_ui_runtime,41,class
SummaryUiRuntimeTests,tests.test_summary_ui_runtime,68,class
TranscriptIoTests,tests.test_transcript_io,23,class
TranscriptReviewTests,tests.test_transcript_review,20,class
TranscriptReviewTableTests,tests.test_transcript_review_table,21,class
FakeStyle,tests.test_ui_state,22,class
FakeButton,tests.test_ui_state,30,class
FakePanel,tests.test_ui_state,54,class
FakeSplitter,tests.test_ui_state,62,class
FakeTextArea,tests.test_ui_state,70,class
FakeCombo,tests.test_ui_state,78,class
FakeAudit,tests.test_ui_state,83,class
UiStateTests,tests.test_ui_state,91,class
UpdateCheckerTests,tests.test_update_checker,7,class
VersioningTests,tests.test_versioning,13,class
